country,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,,,,,,,200,220,500,500,500,1000,1500,,1500,1500,1500,7070,8800
Albania,,,,,,,,272,,10000,64000,92000,106000,128000,160000,183000,208000,243000,266000
Algeria,,,,,,18000,36000,135000,170000,287000,485000,818000,900000,981000,1150000,1280000,1600000,2270000,2860000
Andorra,,,,,1150,3600,6280,10300,14600,18500,20700,22900,24500,25800,26900,27700,28800,30700,32500
Angola,,,,,,,,,7460,11700,15900,15000,15000,15800,20500,22300,87800,154000,123000
Antigua and Barbuda,,,,,,,1660,5800,1540,2270,4990,16000,7120,6000,13100,15600,10800,10000,9260
Argentina,,,,94000,148000,259000,543000,927000,1580000,2600000,3110000,3510000,4030000,4570000,5150000,6250000,6520000,6860000,7230000
Armenia,,,,6,8,10,1000,1990,,3900,13800,39900,93600,161000,212000,243000,273000,286000,299000
Australia,,,,123000,258000,517000,1010000,2020000,3900000,,5320000,5220000,5510000,5550000,5740000,5980000,6540000,6830000,7370000
Austria,,50900,191000,321000,451000,601000,870000,1170000,1430000,1620000,1730000,1880000,2050000,2100000,2130000,2230000,2360000,2460000,2520000
Azerbaijan,,,,,1000,,,2180,3960,14600,60000,100000,475000,974000,1370000,1710000,1900000,1900000,1800000
Bahamas,,,,4140,7540,10900,12800,13400,16600,20500,25500,31600,24700,15500,77900,72500,77200,81000,83800
Bahrain,,,,1180,4980,9740,15000,21400,38600,68300,93600,140000,155000,292000,295000,300000,288000,253000,232000
Bangladesh,,,,,,,,,,43700,50000,317000,415000,469000,600000,1530000,3090000,4890000,6590000
Barbados,,,,,,27300,29600,31900,38800,47100,49200,57300,56200,62600,66900,67800,77700,78300,92400
Belarus,,,,,20,123,750,1560,11400,170000,478000,1090000,1670000,2100000,2530000,2790000,2680000,2900000,3070000
Belgium,10900,23000,144000,460000,815000,1240000,1620000,2010000,2450000,2730000,2980000,3150000,3370000,3540000,3690000,3830000,4010000,4120000,4270000
Belize,,,,,,940,2830,5020,7250,7480,8050,8340,8920,9700,9970,9900,9900,17400,22000
Benin,,,,,21,21,81,196,1500,710,8420,19100,27000,37500,41800,42500,45400,73300,22300
Bhutan,,,,,,,,,,,2060,3380,8680,13200,16800,20500,25000,27900,16500
Bolivia,,,,,3330,5740,8720,13000,17600,34000,79300,96100,95900,73500,117000,154000,173000,181000,288000
Bosnia and Herzegovina,,,27,68,213,1500,6640,13700,40000,84700,188000,292000,391000,430000,469000,516000,542000,635000,662000
Botswana,,,,,,,,1600,1800,3540,8900,10000,12000,19100,22200,21600,33300,36800,59100
Brazil,1000,7000,100000,331000,731000,966000,3160000,3230000,4770000,7610000,10000000,11700000,14100000,17800000,19100000,21400000,24000000,25500000,26800000
Brunei,,,,1900,2760,3840,6260,8130,8960,11600,16900,20000,21700,23200,19800,27600,30300,34400,36100
Bulgaria,,,,,,,6650,165000,385000,629000,844000,998000,1120000,1260000,1330000,1420000,1480000,1610000,1700000
Burkina Faso,,,,,50,145,154,384,1720,6730,10300,11900,13700,14100,14300,13000,5380,7210,8650
Burundi,,,,,,,,,,,160,160,352,497,702,1530,1700,3640,3950
Cambodia,,,,,50,419,780,1000,2900,8450,16600,30000,35700,22000,29700,32600,66100,83500,96700
Cameroon,,,,,,,,202,421,640,860,900,5950,10700,13800,16900,16200,16000,46000
Canada,140000,582000,1410000,2840000,3520000,4510000,5420000,7000000,8040000,9080000,9840000,10300000,10800000,11300000,11700000,12100000,12600000,13000000,13400000
Cape Verde,,,,,,,283,937,1810,3830,7380,11000,16100,21300,19900,21200,19100,16600,15500
Central African Republic,,,,,,,,,,,,,,810,605,,,900,
Chad,,,,,,,,,,,,297,331,15800,19500,14700,10100,11300,10500
Chile,,,7680,66700,188000,352000,479000,709000,1010000,1300000,1430000,1650000,1790000,2010000,2170000,2300000,2490000,2720000,2900000
China,,,22700,336000,3300000,11200000,24900000,37400000,50900000,66400000,82900000,104000000,126000000,156000000,175000000,189000000,200000000,277000000,323000000
Colombia,,,8870,13800,34900,64400,127000,319000,628000,1210000,1770000,2110000,2640000,3350000,3940000,4540000,5030000,5530000,5910000
Comoros,,,,,,,1,4,,82,110,66,329,400,1230,1300,1580,2000,2840
"Congo, Dem. Rep.",,,,,,,,,,,,,0,,,450,500,1000,1000
"Congo, Rep.",,,,,,,,,,,,125,250,1310,1390,438,500,,
Costa Rica,,,,,8990,14900,27900,44900,83300,95000,110000,183000,396000,420000,449000,485000,516000,559000,636000
Cote d'Ivoire,,,,,,413,826,1240,10000,10000,10000,10000,,,46200,56300,127000,110000,136000
Croatia,,,,,,3400,26200,116000,252000,387000,528000,717000,838000,893000,919000,955000,984000,986000,1040000
Cuba,,,,,,,,,,1950,2250,2880,3710,4420,5010,5360,7790,8160,14400
Cyprus,,,,2500,5880,10000,17100,31900,63100,97600,147000,176000,194000,212000,221000,229000,244000,261000,278000
Czech Republic,,,2500,6200,15300,34700,236000,709000,1110000,1500000,1760000,2040000,2260000,2510000,2660000,2860000,2990000,2950000,3070000
Denmark,,,67000,238000,451000,718000,1020000,1340000,1740000,1900000,2010000,2020000,2110000,2140000,2180000,2270000,2340000,2400000,2430000
Djibouti,,,4,5,6,,,42,152,1090,2450,5290,8060,11300,14900,17700,20100,24200,27000
Dominica,,,80,175,2240,2650,3250,3400,4300,5000,7000,7300,8310,8310,8500,10700,10800,15200,15500
Dominican Republic,,,,,,15000,37300,60700,103000,174000,239000,316000,391000,424000,484000,527000,600000,686000,767000
Ecuador,,,,2620,6500,6920,11600,26800,46000,100000,156000,241000,221000,659000,844000,1060000,1320000,1580000,1600000
Egypt,,,,,50900,54900,79200,141000,259000,477000,770000,1080000,1450000,1850000,2290000,2680000,3070000,3830000,4470000
El Salvador,,,,,,19600,29300,42300,61500,89800,123000,149000,175000,206000,242000,284000,319000,353000,395000
Equatorial Guinea,,,,,,,,180,180,180,180,180,1190,1350,1480,3520,3880,3800,3380
Eritrea,,,,,,,,,,,44,70,118,141,185,146,200,500,600
Estonia,,,,17500,46500,90300,139000,179000,247000,265000,295000,314000,348000,349000,350000,361000,371000,384000,397000
Ethiopia,,,,,,57,35,61,261,1040,1500,3500,4110,6350,8540,238000,471000,478000,559000
Fiji,,,,,,,,7000,8500,11500,13000,12800,23300,23300,13500,10900,12400,12700,12300
Finland,,,35000,134000,274000,491000,800000,1170000,1430000,1620000,1620000,1570000,1560000,1610000,1650000,1720000,1760000,1730000,1710000
France,13500,55000,197000,602000,1660000,3570000,6560000,9470000,12700000,15800000,17800000,19900000,21300000,22700000,24000000,24900000,26000000,26900000,27700000
Gabon,,,,,,170,650,1530,1760,1980,2200,3700,4080,4500,5000,8900,10800,11100,15000
Gambia,,,,,,,36,71,,269,300,300,350,437,500,438,2740,3570,3750
Georgia,,,,430,920,1410,1900,2390,27000,46700,112000,150000,182000,249000,463000,517000,601000,663000,690000
Germany,,,265000,2100000,3210000,4470000,7000000,10800000,15000000,19800000,22700000,25000000,26200000,27300000,28000000,28600000,29600000,30700000,32000000
Ghana,,,,,,,900,1900,12700,16200,23000,28400,52100,65100,68100,68800,70200,73100,86600
Greece,,,,,,10500,51500,160000,488000,1020000,1510000,1920000,2250000,2460000,2690000,2910000,3160000,3440000,3620000
Grenada,,,,,563,,609,3220,5540,7600,8950,12400,14400,14700,16000,18000,18800,19800,20800
Guatemala,,,,,,,,27100,39000,57000,94500,156000,259000,,280000,353000,434000,460000,506000
Guinea,,,,,,,,,,,,,500,600,700,800,900,1000,1100
Guinea-Bissau,,,,,,,,,,,,,800,1000,1200,1450,1400,1050,721
Guyana,,,,,,,,2000,,2360,5080,6820,11200,20500,30000,36900,45200,53700,57200
Haiti,,,,,,,,,,,,,,,0,0,0,1350,1350
Honduras,,,,,,,,,,,,,1000,57300,61300,69000,158000,197000,220000
Hungary,,,3400,31400,111000,264000,411000,652000,1200000,1450000,1770000,1980000,2160000,2310000,2400000,2600000,2580000,2720000,2810000
