country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000,200000,600000,1200000,2520000,4670000,7900000,10500000,10200000,13800000,15300000,16800000,18400000,19700000,21600000
Albania,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,3300,5600,11000,29800,393000,851000,1100000,1260000,1530000,1910000,2320000,1860000,2460000,2690000,3100000,3500000,3690000,3360000,3400000,3370000
Algeria,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470,4780,4780,4780,1350,4690,11700,17400,18000,72000,86000,100000,450000,1450000,4880000,13700000,21000000,27600000,27000000,32700000,32800000,35600000,37500000,39500000,43300000,43200000,47000000
Andorra,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,770,780,784,2830,5490,8620,14100,20600,23500,29400,32800,51900,58400,64600,69000,63500,64200,64500,65500,65000,63900,63900,66200,71300,71100
Angola,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1100,1820,1990,3300,7050,9820,24000,25800,75000,140000,350000,740000,1610000,3050000,4960000,6770000,8110000,9400000,12100000,12800000,13300000,14100000,13900000,13000000
Antigua and Barbuda,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,,,,,1300,1400,1500,8500,22000,25000,38200,46100,54000,86000,110000,112000,137000,135000,168000,176000,127000,114000,120000,176000,180000
Argentina,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,12000,25000,46600,112000,241000,405000,667000,2010000,2670000,3850000,6490000,6740000,6570000,7840000,13500000,22200000,31500000,40400000,46500000,52500000,57100000,60700000,64300000,67400000,61200000,61800000,63700000
Armenia,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,5000,7830,8160,17500,25500,71300,114000,203000,318000,1260000,1880000,1440000,2190000,3870000,3210000,3320000,3350000,3460000,3460000,3430000
Australia,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,4420,31600,94500,185000,291000,497000,690000,1220000,2240000,3990000,4580000,4920000,6320000,8560000,11100000,12700000,14300000,16500000,18400000,19800000,21300000,22100000,22200000,22500000,23800000,24300000,24900000,25100000,25800000,26600000
Austria,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,9760,19100,26200,36900,50700,73700,115000,172000,221000,278000,384000,599000,1160000,2290000,4250000,6120000,6540000,6740000,7270000,7990000,8670000,9280000,9910000,10800000,11400000,12200000,13000000,13600000,13300000,13000000,13500000,14300000
Azerbaijan,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,500,6000,17000,40000,65000,370000,420000,730000,794000,1060000,1460000,2240000,3320000,4520000,6550000,7760000,9100000,10100000,10100000,10100000,10600000,10700000,10200000
Bahamas,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1920,2020,2600,2400,,4100,4950,6200,8070,15900,31500,60600,122000,122000,186000,228000,253000,374000,358000,359000,428000,299000,300000,287000,315000,311000,360000
Bahrain,0,,,,,0,,,,,0,,,,,0,0,0,0,0,0,0,0,0,0,0,618,1710,2890,4250,5150,7350,9680,11400,17600,27600,40100,58500,92100,133000,206000,300000,389000,443000,650000,767000,907000,1120000,1440000,1400000,1570000,1690000,2120000,2210000,2330000,2520000,2990000
