year,city,country,avg_temp
1796,Dhaka,Bangladesh,25.35
1797,Dhaka,Bangladesh,26.36
1798,Dhaka,Bangladesh,25.22
1799,Dhaka,Bangladesh,25.61
1800,Dhaka,Bangladesh,25.54
1801,Dhaka,Bangladesh,25.14
1802,Dhaka,Bangladesh,25.98
1803,Dhaka,Bangladesh,25.73
1804,Dhaka,Bangladesh,26.05
1805,Dhaka,Bangladesh,25.64
1806,Dhaka,Bangladesh,25.56
1807,Dhaka,Bangladesh,25.15
1808,Dhaka,Bangladesh,
1809,Dhaka,Bangladesh,
1810,Dhaka,Bangladesh,
1811,Dhaka,Bangladesh,
1812,Dhaka,Bangladesh,
1813,Dhaka,Bangladesh,24.90
1814,Dhaka,Bangladesh,24.51
1815,Dhaka,Bangladesh,24.43
1816,Dhaka,Bangladesh,24.19
1817,Dhaka,Bangladesh,24.21
1818,Dhaka,Bangladesh,24.26
1819,Dhaka,Bangladesh,24.01
1820,Dhaka,Bangladesh,24.33
1821,Dhaka,Bangladesh,25.26
1822,Dhaka,Bangladesh,25.46
1823,Dhaka,Bangladesh,25.10
1824,Dhaka,Bangladesh,25.64
1825,Dhaka,Bangladesh,25.44
1826,Dhaka,Bangladesh,25.46
1827,Dhaka,Bangladesh,25.66
1828,Dhaka,Bangladesh,25.24
1829,Dhaka,Bangladesh,25.05
1830,Dhaka,Bangladesh,25.38
1831,Dhaka,Bangladesh,24.79
1832,Dhaka,Bangladesh,25.16
1833,Dhaka,Bangladesh,25.23
1834,Dhaka,Bangladesh,25.01
1835,Dhaka,Bangladesh,23.98
1836,Dhaka,Bangladesh,25.04
1837,Dhaka,Bangladesh,24.90
1838,Dhaka,Bangladesh,24.85
1839,Dhaka,Bangladesh,24.89
1840,Dhaka,Bangladesh,25.28
1841,Dhaka,Bangladesh,25.38
1842,Dhaka,Bangladesh,25.04
1843,Dhaka,Bangladesh,25.10
1844,Dhaka,Bangladesh,24.67
1845,Dhaka,Bangladesh,24.85
1846,Dhaka,Bangladesh,25.03
1847,Dhaka,Bangladesh,24.70
1848,Dhaka,Bangladesh,24.73
1849,Dhaka,Bangladesh,24.71
1850,Dhaka,Bangladesh,25.23
1851,Dhaka,Bangladesh,25.21
1852,Dhaka,Bangladesh,24.91
1853,Dhaka,Bangladesh,25.39
1854,Dhaka,Bangladesh,25.40
1855,Dhaka,Bangladesh,25.33
1856,Dhaka,Bangladesh,24.89
1857,Dhaka,Bangladesh,24.62
1858,Dhaka,Bangladesh,25.22
1859,Dhaka,Bangladesh,25.28
1860,Dhaka,Bangladesh,25.01
1861,Dhaka,Bangladesh,24.94
1862,Dhaka,Bangladesh,20.49
1863,Dhaka,Bangladesh,25.15
1864,Dhaka,Bangladesh,24.98
1865,Dhaka,Bangladesh,25.36
1866,Dhaka,Bangladesh,25.46
1867,Dhaka,Bangladesh,25.43
1868,Dhaka,Bangladesh,25.07
1869,Dhaka,Bangladesh,25.05
1870,Dhaka,Bangladesh,25.13
1871,Dhaka,Bangladesh,25.35
1872,Dhaka,Bangladesh,25.35
1873,Dhaka,Bangladesh,25.35
1874,Dhaka,Bangladesh,25.15
1875,Dhaka,Bangladesh,25.22
1876,Dhaka,Bangladesh,25.14
1877,Dhaka,Bangladesh,25.08
1878,Dhaka,Bangladesh,25.82
1879,Dhaka,Bangladesh,25.79
1880,Dhaka,Bangladesh,25.18
1881,Dhaka,Bangladesh,25.21
1882,Dhaka,Bangladesh,25.47
1883,Dhaka,Bangladesh,24.97
1884,Dhaka,Bangladesh,24.83
1885,Dhaka,Bangladesh,25.32
1886,Dhaka,Bangladesh,25.39
1887,Dhaka,Bangladesh,25.11
1888,Dhaka,Bangladesh,25.25
1889,Dhaka,Bangladesh,25.85
1890,Dhaka,Bangladesh,25.21
1891,Dhaka,Bangladesh,25.29
1892,Dhaka,Bangladesh,25.37
1893,Dhaka,Bangladesh,24.55
1894,Dhaka,Bangladesh,25.44
1895,Dhaka,Bangladesh,25.39
1896,Dhaka,Bangladesh,25.84
1897,Dhaka,Bangladesh,25.89
1898,Dhaka,Bangladesh,25.48
1899,Dhaka,Bangladesh,25.29
1900,Dhaka,Bangladesh,25.94
1901,Dhaka,Bangladesh,25.72
1902,Dhaka,Bangladesh,25.43
1903,Dhaka,Bangladesh,25.59
1904,Dhaka,Bangladesh,25.34
1905,Dhaka,Bangladesh,24.75
1906,Dhaka,Bangladesh,25.51
1907,Dhaka,Bangladesh,25.38
1908,Dhaka,Bangladesh,25.52
1909,Dhaka,Bangladesh,25.60
1910,Dhaka,Bangladesh,25.18
1911,Dhaka,Bangladesh,25.22
1912,Dhaka,Bangladesh,25.39
1913,Dhaka,Bangladesh,25.11
1914,Dhaka,Bangladesh,25.28
1915,Dhaka,Bangladesh,25.80
1916,Dhaka,Bangladesh,25.56
1917,Dhaka,Bangladesh,25.22
1918,Dhaka,Bangladesh,25.13
1919,Dhaka,Bangladesh,25.64
1920,Dhaka,Bangladesh,25.57
1921,Dhaka,Bangladesh,25.49
1922,Dhaka,Bangladesh,25.77
1923,Dhaka,Bangladesh,25.57
1924,Dhaka,Bangladesh,25.92
1925,Dhaka,Bangladesh,25.18
